Name,Affiliation,Phonebook
Huilei Xu,Novartis,Huilei Xu (Novartis)
Alan Hopkins,Beigene,Alan Hopkins (Beigene)
Eric Milliman,Biogen,Eric Milliman (Biogen)
David Lyder,Metrum,David Lyder (Metrum)
Jaishri Alladi,Johnson & Johnson,Jaishri Alladi (Johnson & Johnson)
Clement Benamara,Roche / Genentech,Clement Benamara (Roche / Genentech)
Eric Anderson,Metrum,Eric Anderson (Metrum)
Himanshu Pandya,Biogen,Himanshu Pandya (Biogen)
Jinesh Shah,CSL Behring,Jinesh Shah (CSL Behring)
Theresa Yuraszeck,CSL Behring,Theresa Yuraszeck (CSL Behring)
Anthony Williams,Fred Hutch,Anthony Williams (Fred Hutch)
Martin Klein,FDA,Martin Klein (FDA)
Craig Brelage,Eli Lilly,Craig Brelage (Eli Lilly)
William Henner,Abbvie,William Henner (Abbvie)
Ying Jiang,Alkermes,Ying Jiang (Alkermes)
Jerald Schindler,Alkermes,Jerald Schindler (Alkermes)
Chong Hoon Kim,Diversity Grant,Chong Hoon Kim (Diversity Grant)
Natalie DelRocco,Diversity Grant,Natalie DelRocco (Diversity Grant)
Estella Dong,Diversity Grant,Estella Dong (Diversity Grant)
Yanan Huo,Diversity Grant,Yanan Huo (Diversity Grant)
Josh Kraut,Flatiron,Josh Kraut (Flatiron)
Douglas Robinson,Novartis,Douglas Robinson (Novartis)
